"Xmin","Ymin","Xmax","Ymax","N","NW","NWA","Zone"
-0.45,-0.3,-0.3,-0.25,1,1.33199400811332,4.44538033302059,"D"
-0.45,-0.25,-0.3,-0.2,0,0,10.1323876446339,"D"
-0.45,-0.2,-0.3,-0.15,1,1.33199400811332,19.7688935890688,"D"
-0.45,-0.15,-0.3,-0.1,1,2.15879012689742,40.3174401048215,"D"
-0.45,-0.1,-0.3,-0.05,1,1.33199400811332,73.2989139860518,"D"
-0.3,-0.3,-0.15,-0.25,0,0,3.11338632490728,"D"
-0.3,-0.25,-0.15,-0.2,0,0,8.80039363652062,"D"
-0.3,-0.2,-0.15,-0.15,0,0,17.1049055728422,"D"
-0.3,-0.15,-0.15,-0.1,1,1.21920486843962,35.4946619616975,"D"
-0.3,-0.1,-0.15,-0.05,1,1.98033811938582,67.1441418348145,"D"
-0.15,-0.3,0,-0.25,1,1.57407400372572,3.11338632490728,"B"
-0.15,-0.25,0,-0.2,0,0,8.80039363652062,"B"
-0.15,-0.2,0,-0.15,1,1.46053241706689,17.1049055728422,"A"
-0.15,-0.15,0,-0.1,4,6.50357051998632,34.2754570932579,"A"
-0.15,-0.1,0,-0.05,5,8.26127954176292,63.944598846989,"A"
0,-0.3,0.15,-0.25,0,0,1.53931232118155,"B"
0,-0.25,0.15,-0.2,0,0,7.2263196327949,"B"
0,-0.2,0.15,-0.15,2,4.07127550811179,14.0702991520496,"A"
0,-0.15,0.15,-0.1,2,4.38453437054042,24.7372801524789,"A"
0,-0.1,0.15,-0.05,4,6.81436546480565,46.1451423644472,"A"
0.15,-0.3,0.3,-0.25,1,1.53931232118155,1.53931232118155,"B"
0.15,-0.25,0.3,-0.2,1,1.49832515589049,7.2263196327949,"B"
0.15,-0.2,0.3,-0.15,1,1.40722503132416,9.99902364393778,"B"
0.15,-0.15,0.3,-0.1,2,3.4932676358974,16.2814702738267,"A"
0.15,-0.1,0.3,-0.05,4,8.46070729999561,30.8749670209893,"A"
0.3,-0.3,0.45,-0.25,0,0,0,"C"
0.3,-0.25,0.45,-0.2,2,2.8042985600798,4.18868215572286,"B"
0.3,-0.2,0.45,-0.15,1,1.36547897981871,5.55416113554157,"B"
0.3,-0.15,0.45,-0.1,1,1.48296267627408,8.34334012953313,"B"
0.3,-0.1,0.45,-0.05,1,2.95136478684022,14.4761295767001,"A"
0.45,-0.3,0.6,-0.25,0,0,0,"C"
0.45,-0.25,0.6,-0.2,1,1.38438359564306,1.38438359564306,"B"
0.45,-0.2,0.6,-0.15,0,0,1.38438359564306,"B"
0.45,-0.15,0.6,-0.1,1,1.30621631771747,2.69059991336054,"B"
0.45,-0.1,0.6,-0.05,0,0,5.8720245736873,"B"
0.6,-0.3,0.75,-0.25,0,0,0,"C"
0.6,-0.25,0.75,-0.2,0,0,0,"C"
0.6,-0.2,0.75,-0.15,0,0,0,"C"
0.6,-0.15,0.75,-0.1,0,0,0,"C"
0.6,-0.1,0.75,-0.05,2,3.18142466032676,3.18142466032676,"B"
