"Model","Scenario","Overshoot","Max.Coal.Asia","Max.Coal.LAM","Max.Coal.MAF","Max.Coal.OECD","Max.Coal.REF","Max.Gas.Asia","Max.Gas.LAM","Max.Gas.MAF","Max.Gas.OECD","Max.Gas.REF","Zone.All"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","NO/LO","C (20-30)","","A (20-30)","B (20-30)","B (20-30)","","B (30-40)","C (30-40)","A (30-40)","B (30-40)","C"
"AIM/CGE 2.0","SSP1-19","NO/LO","C (20-30)","","A (20-30)","B (20-30)","B (20-30)","","","B (30-40)","","B (20-30)","C"
"AIM/CGE 2.0","SSP2-19","NO/LO","C (20-30)","","A (20-30)","B (20-30)","B (20-30)","","","A (20-30)","","B (20-30)","C"
"AIM/CGE 2.1","CD-LINKS_NPi2020_400","NO/LO","C (20-30)","","A (20-30)","B (20-30)","B (20-30)","","","","","","C"
"AIM/CGE 2.1","EMF33_WB2C_cost100","HO","C (20-30)","","A (20-30)","B (20-30)","B (20-30)","","","","","B (30-40)","C"
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","NO/LO","C (20-30)","","A (20-30)","B (20-30)","B (20-30)","","","A (20-30)","","B (20-30)","C"
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","NO/LO","C (20-30)","","A (20-30)","B (20-30)","B (20-30)","","B (30-40)","C (30-40)","","B (20-30)","C"
"GCAM 4.2","SSP1-19","NO/LO","B (30-40)","","","A (20-30)","A (30-40)","","","","","A (40-50)","B"
"GCAM 4.2","SSP2-19","HO","B (30-40)","","","A (20-30)","A (20-30)","","","","","A (30-40)","B"
"GCAM 4.2","SSP5-19","HO","","","","B (20-30)","A (20-30)","","","","","A (30-40)","B"
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","HO","B (30-40)","A (30-40)","A (20-30)","A (20-30)","A (20-30)","A (20-30)","A (20-30)","A (20-30)","A (30-40)","A (20-30)","B"
"IMAGE 3.0.1","CD-LINKS_NPi2020_400","HO","B (30-40)","A (30-40)","A (20-30)","B (20-30)","A (20-30)","A (40-50)","A (20-30)","A (20-30)","A (30-40)","A (20-30)","B"
"IMAGE 3.0.1","IMA15-AGInt","NO/LO","B (30-40)","A (20-30)","A (20-30)","A (20-30)","","A (30-40)","","","A (30-40)","A (40-50)","B"
"IMAGE 3.0.1","IMA15-Def","NO/LO","B (30-40)","A (20-30)","A (20-30)","A (20-30)","A (30-40)","A (30-40)","","","A (30-40)","A (40-50)","B"
"IMAGE 3.0.1","IMA15-Eff","NO/LO","B (30-40)","A (20-30)","A (20-30)","B (20-30)","A (30-40)","A (30-40)","A (30-40)","A (30-40)","A (30-40)","A (20-30)","B"
"IMAGE 3.0.1","IMA15-LiStCh","NO/LO","B (30-40)","A (20-30)","A (20-30)","A (20-30)","","A (30-40)","","","A (30-40)","A (40-50)","B"
"IMAGE 3.0.1","IMA15-LoNCO2","HO","B (30-40)","A (20-30)","A (20-30)","A (20-30)","","A (30-40)","","","A (30-40)","A (40-50)","B"
"IMAGE 3.0.1","IMA15-Pop","NO/LO","B (30-40)","A (20-30)","A (20-30)","A (20-30)","","A (30-40)","","","A (30-40)","A (40-50)","B"
"IMAGE 3.0.1","IMA15-RenElec","HO","B (20-30)","A (20-30)","A (20-30)","B (20-30)","","B (30-40)","B (30-40)","","A (30-40)","A (40-50)","B"
"IMAGE 3.0.1","IMA15-TOT","NO/LO","B (20-30)","","A (20-30)","A (20-30)","A (20-30)","A (30-40)","A (20-30)","","A (20-30)","A (20-30)","B"
"IMAGE 3.0.1","SSP1-19","NO/LO","B (20-30)","A (20-30)","A (20-30)","D (20-30)","A (20-30)","A (30-40)","","","A (30-40)","B (40-50)","D"
"MERGE-ETL 6.0","DAC15_50","NO/LO","C (20-30)",NA,"","B (20-30)","A (20-30)","",NA,"C (30-40)","A (20-30)","B (20-30)","C"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_1.5C-2100","NO/LO","C (20-30)","","A (20-30)","A (20-30)","","","B (20-30)","","","C (20-30)","C"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Price1.5C","HO","C (30-40)","","A (20-30)","A (20-30)","A (30-40)","B (40-50)","C (30-40)","B (30-40)","A (30-40)","C (30-40)","C"
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_cost100","NO/LO","C (20-30)","","B (20-30)","B (20-30)","A (20-30)","","B (20-30)","","A (40-50)","C (20-30)","C"
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_full","NO/LO","C (20-30)","","B (20-30)","B (20-30)","A (20-30)","","B (20-30)","","A (40-50)","C (20-30)","C"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_cost100","HO","B (20-30)","","B (20-30)","B (20-30)","A (20-30)","","","","","A (40-50)","B"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_full","HO","B (20-30)","","B (20-30)","A (20-30)","A (20-30)","","","","","A (40-50)","B"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_limbio","HO","C (20-30)","","B (20-30)","B (20-30)","A (20-30)","","","","","A (40-50)","C"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_nofuel","HO","B (20-30)","","B (20-30)","B (20-30)","A (20-30)","","A (30-40)","","","","B"
"MESSAGE-GLOBIOM 1.0","SSP1-19","NO/LO","C (20-30)","","A (20-30)","B (20-30)","A (20-30)","","A (30-40)","","","","C"
"MESSAGE-GLOBIOM 1.0","SSP2-19","NO/LO","C (20-30)","","B (20-30)","B (20-30)","A (20-30)","","B (30-40)","","","B (30-40)","C"
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi2020_400","HO","B (20-30)","","A (20-30)","A (20-30)","A (20-30)","","A (40-50)","","","A (40-50)","B"
"POLES ADVANCE","ADVANCE_2020_1.5C-2100","NO/LO","C (20-30)","","","A (20-30)","A (20-30)","","A (30-40)","A (30-40)","A (30-40)","A (30-40)","C"
"POLES ADVANCE","ADVANCE_2020_WB2C","HO","B (20-30)","","","A (20-30)","A (20-30)","","","","A (30-40)","A (30-40)","B"
"POLES ADVANCE","ADVANCE_2030_1.5C-2100","HO","C (30-40)","A (30-40)","A (30-40)","A (30-40)","C (30-40)","A (30-40)","B (30-40)","B (30-40)","A (30-40)","D (30-40)","C"
