"Model","Scenario","Region","Fuel","Period","Rate","Size","Category","Type"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5ASIA","Total","2020-2030",0.222456412816388,10517.75802,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5ASIA","Coal","2020-2030",-0.361454693364394,10517.75802,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5ASIA","Gas","2020-2030",0.0247194335052785,10517.75802,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5ASIA","Oil","2020-2030",0.0168009740920052,10517.75802,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5LAM","Total","2020-2030",0.346555909467215,1979.79726,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5LAM","Coal","2020-2030",-0.0292842409530358,1979.79726,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5LAM","Gas","2020-2030",0.0292561774734449,1979.79726,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5LAM","Oil","2020-2030",0.0124180897189443,1979.79726,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5MAF","Total","2020-2030",0.299423726900479,2215.07997,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5MAF","Coal","2020-2030",-0.103616286142482,2215.07997,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5MAF","Gas","2020-2030",-0.0825343475071015,2215.07997,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5MAF","Oil","2020-2030",-0.00132937864089846,2215.07997,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5OECD90+EU","Total","2020-2030",0.22459089361366,13012.97151,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5OECD90+EU","Coal","2020-2030",-0.199470784824611,13012.97151,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5OECD90+EU","Gas","2020-2030",0.0244391098340305,13012.97151,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5OECD90+EU","Oil","2020-2030",-0.00756357146593031,13012.97151,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5REF","Total","2020-2030",0.622922695523486,2947.09686,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5REF","Coal","2020-2030",-0.0745897235288018,2947.09686,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5REF","Gas","2020-2030",-0.0850057028665152,2947.09686,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","R5REF","Oil","2020-2030",-0.00106516349788381,2947.09686,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Total","2020-2030",0.275409066970013,30672.68973,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Coal","2020-2030",-0.225108762250046,30672.68973,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Gas","2020-2030",0.00660702083136154,30672.68973,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Oil","2020-2030",0.00315361844205634,30672.68973,"LO15C","15C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","R5ASIA","Total","2020-2030",0.150916439308391,10110.89214,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","R5ASIA","Coal","2020-2030",-0.324785761190011,10110.89214,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","R5ASIA","Gas","2020-2030",0.0281731934290024,10110.89214,"H2C","2C"
